"","GSM614501_Sample_1.CEL","GSM614502_Sample_2.CEL","GSM614503_Sample_3.CEL","GSM614504_Sample_4.CEL","GSM614505_Sample_5.CEL","GSM614506_Sample_6.CEL","GSM614507_Sample_7.CEL","GSM614508_Sample_8.CEL","GSM614509_Sample_9.CEL","GSM614510_Sample_10.CEL","GSM614511_Sample_11.CEL","GSM614512_Sample_12.CEL","GSM614513_Sample_13.CEL","GSM614514_Sample_14.CEL","GSM614515_Sample_15.CEL","GSM614516_Sample_16.CEL","GSM614517_Sample_17.CEL","GSM614518_Sample_18.CEL","GSM614519_Sample_19.CEL","GSM614520_Sample_20.CEL","GSM614521_Sample_21.CEL","GSM614522_Sample_22.CEL","GSM614523_Sample_23.CEL","GSM614524_Sample_24.CEL"
"ABCA6",7.89370515190243,7.59606846729739,7.52925309052092,7.9346584348931,8.03447414615244,8.16931141044331,9.73501482193515,9.89884935098386,10.1448817302718,10.0522760968191,10.035425602092,10.1521985506859,7.31083171600901,7.6664398358326,7.44810504161728,7.53168610239248,7.24344327217931,7.27104963606932,9.88170810330874,9.99659173239222,9.81028755294794,9.98732908795863,10.1192672925947,10.0353358384452
"ABCA7",6.41882996350422,6.47298380134317,6.45513013045953,6.45039142872814,6.64686835508217,6.74636128865129,7.00326334688836,6.75915947225607,6.72893008320029,6.68198439319392,6.76472611938628,6.50278571696851,6.5910030586551,6.48582796186026,6.45915919015476,6.66904100085586,6.48188696977794,6.45104470737436,6.73825277699849,6.9007785145463,6.74983463409338,6.82407557855002,6.9643505308788,6.92858320071976
"ABCA8",4.25584687126691,4.41440620733152,4.24190649517753,4.58369913693499,4.14498412206863,4.13363720273715,4.48162528863761,4.89846040274903,4.79485186903639,4.81424104896185,4.77922398388558,4.87542235193798,4.1271461177041,4.23123643156824,4.04186727630487,4.20966048606712,4.27468485569087,4.51122174314079,4.90699797041489,4.86802589716276,4.82524992615245,5.06359020886749,5.06689638512952,4.92396434247678
"ABCA9",3.96608265886845,4.6536710057017,4.13988623416906,4.24515289689154,4.40109012763038,4.07400944544866,6.47559425795001,5.68507132101156,5.91186755256175,5.5883554252189,5.81347819078352,5.67714574631688,4.22792807056631,4.22235027625239,4.3562767049613,4.22235027625239,4.16519269492476,4.11935752454475,6.15826357670197,6.72949113699978,5.87255064168431,5.99236031234719,6.84859042622414,5.6839602117359
"ABCB1",4.0942753256901,4.2026135591243,4.07082325511573,3.78540831001375,4.33049724527747,4.07044607635857,7.20046627921675,6.99515722690415,7.25280520639145,6.79103144818344,6.95909988809194,6.84797166395443,3.98102931214464,3.96527650478583,4.04218473907822,4.16811203071891,4.30976158380204,4.19011476353763,6.90958614339137,6.96659352770046,6.89636564876067,6.90571735604247,6.92452274991903,6.5810388598412
"ABCB10",9.22093884008129,9.12619760623497,9.14323966467896,9.2429406759552,9.29656941971377,9.2929650100446,8.60795835593094,8.58505504640891,8.74907928227568,8.61008253967011,8.84845773282026,8.72354696747927,9.15863965247047,9.41731717573116,9.31029375058413,9.25296526597355,9.15499586742242,9.05460917343187,8.67665275569138,8.75174965405673,8.38199160664761,8.71960824977485,8.73013952611298,8.6644948430643
"ABCB11",4.60141772349894,4.51428943090007,4.63806743552031,4.49226141222243,4.63762584598939,4.57411499892583,4.76271952017665,4.50466374086569,4.71211308494697,4.63533128708418,4.68370069227277,4.84549984975104,4.55948072306084,4.57365939297144,4.61770209235515,4.72728310330533,4.69758790356303,4.53145066722625,4.68962954843013,4.60364224075593,4.59798368561258,4.65403099038902,4.64816452953349,4.85656418946897
"ABCB4",4.01615661607431,4.13086767001165,4.03769556651277,3.92342150682431,4.16396725035102,3.88459393963019,3.92586279577649,4.15515198828603,4.14883310802938,4.08540478825136,4.20623379350615,4.23813566772425,3.99779554371212,3.9701263122524,3.86841513240291,4.03774654730998,4.01960431248555,3.96781679238285,4.0892730270721,3.95395293482249,4.04222564125493,4.25455246286544,4.20922175474565,4.06352119339368
"ABCB5",3.74480177560508,3.6831782594552,3.75371021920995,3.63871070383192,3.65587721867267,3.6175287057957,3.76606437034885,3.72470035102126,3.78906463860397,3.92348290121352,3.73823765745257,3.94579280105264,3.71077773541024,3.71986341472005,3.69109432538357,3.84442557203679,3.81393614068883,3.81246413509141,3.7819155087124,3.76789111698919,3.61812044305062,3.63732379375248,3.81924958421798,3.76534296523716
"ABCB6",6.67826180488963,6.57232632495456,6.42181348625632,6.66110145937659,6.88828250097611,6.82521841635752,6.76206109234974,6.67844957650047,6.78196128672027,7.00066524235125,7.02014582823229,6.79171927456914,6.72359491763823,6.62436050227587,6.8023415734863,6.78268799635715,6.81402494753372,6.95005662263028,6.63896249263981,6.68827719798844,6.68554060838423,6.84761176330411,6.74083962116119,6.78753623347166
"ABCB7",8.5581260678575,8.54837232405882,8.40299745987078,8.58074261863127,8.59772732996665,8.59631774897946,8.58308956252181,8.52335458346472,8.51562109091516,8.64454414138958,8.66379251938092,8.51669820895616,8.53135612565,8.54110553913842,8.47338574854602,8.50984241303003,8.53478548765192,8.39248516510379,8.67303184990647,8.59088916352342,8.65106227372885,8.54865137798316,8.62873947089625,8.55200845699448
"ABCB8",6.63669934641604,6.6172405326242,6.67481701925054,6.71708501530805,6.63239873037586,6.61440091044368,6.98908337386555,6.88098122663453,6.8239914329563,6.86552983181633,6.71723406516156,6.72203422274454,6.85017668477744,6.54835968431004,6.7744203068907,6.87540914480084,6.8297258876392,6.84612903327809,6.60732349463898,6.76146144759726,6.80236599629105,6.75163292284068,6.81710131108796,6.79394543363914
"ABCB9",6.04879394817338,5.86685248793548,5.98072487632906,5.84018071400455,6.12066753662786,5.70449848957266,6.14382166287692,6.41852335282618,6.37624250936644,6.17482020200241,6.59219610287055,6.56632753450744,5.95445293137094,5.82336765793543,6.00682728370068,5.96649850456777,6.16327601994359,6.10048406327164,6.0941836017228,6.17582265889928,6.22426556452419,6.15128322761771,6.08671751179164,6.27968795235716
"ABCC1",8.85569473205041,8.87182886917646,8.88194057284735,8.82319018216649,9.03315166182568,8.78774747267741,9.42135264685646,9.36121642962859,9.51368225337891,9.39933526576348,9.49072091337736,9.51893462256907,8.92175139841399,8.91122817432835,8.91854341990456,8.91124191276552,9.00416339912038,8.86172146773228,9.46034918983712,9.38969411501105,9.46692792165365,9.34825933348051,9.35012980588365,9.27002665793042
"ABCC10",8.08358239851982,7.93846469075439,7.94209424497229,8.03986781324651,8.14666685769783,8.00732419113926,7.92777265084118,7.73591255478352,7.83292647109479,7.9366124356454,7.91972883655446,7.78812003015214,8.01918549912331,8.06055386831352,7.95312872603056,8.01570213848241,7.97571641959785,7.94326195756326,8.04107584664465,8.00773887805328,7.92182629345547,7.92008372427712,7.95534115673522,7.9616709846055
"ABCC11",4.67565883326411,4.54379612052981,4.56739632084541,4.37406594842694,4.46204056201925,4.40719943486415,4.21640998965394,4.48805031811261,4.32204853365745,4.52843950249432,4.44831739360473,4.36898421800775,4.59283426562781,4.51452314564301,4.37213298013537,4.37815551030386,4.62261792150398,4.63371617627283,4.3850454618096,4.4614561927189,4.33791875190268,4.3965485538934,4.43095049903473,4.30761464282852
"ABCC12",3.78274605020395,4.06645451624589,3.83012801767406,3.6466950117263,3.85682235937029,3.9357422486735,3.67608091576848,3.92683217759956,3.79038658892389,3.87533681164986,3.86894735314095,3.86139932562762,3.70938899323947,3.74354065621528,3.59071493279094,3.69320748195706,3.66380319487059,4.13887439884654,3.93065319129823,4.06169387990045,3.8940338798415,3.78035443380615,3.71209829411581,3.78161574750975
"ABCC13",4.28321882845562,4.38603695482288,4.48620931547419,4.3389014844358,4.40236795959807,4.53960742257951,4.0450435582929,4.19039709001587,3.75302775120921,4.08551498981582,3.98530908959192,4.03534303015322,4.6275216917184,4.34939457622857,4.42590958885503,4.29592293847862,4.54393838817581,4.40458974277185,3.96252288980914,3.96173120239266,4.11803405184114,4.12306635926185,3.8416345407296,4.03439822341204
"ABCC2",4.75333824463996,5.3297226996122,4.93890532027168,4.7019939524746,4.73762938876847,4.77175439518807,5.02314543712321,4.61691340070849,4.90036219156792,4.87538977044025,4.7019939524746,5.08912464463637,4.91022391023594,4.93978077677127,4.73252151554892,4.66415868638191,4.99946567404583,4.82775740546901,4.94522042232529,4.95658145459138,4.94287086987226,4.86863234061281,5.17464293292349,4.65371889839474
